Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C84256,NCD0805R1,NATIONSTAR,0805,,Red 630nm LED Indication - Discrete 1.6V~2.6V 0805,yes,50,50,50,0.0134,0.67,https://www.lcsc.com/product-detail/C84256.html
2,C2847000,LM1084RS-5.0,HTC,TO-252-3L,,"5V Positive Fixed TO-252-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,3,1,1,0.5310,1.59,https://www.lcsc.com/product-detail/C2847000.html
3,C2761614,BQ25887RGER,TI,QFN-24-EP(4x4),,Battery Balancing IC Lithium-ion/Polymer QFN-24-EP(4x4),yes,3,1,1,2.9554,8.87,https://www.lcsc.com/product-detail/C2761614.html
4,C3013385,FRP2512J100 TS,FOJAN,2512,,2W 10Ω 200V Thick Film Resistor ±200ppm/℃ ±5% 2512 Chip Resistor - Surface Mount RoHS,yes,20,20,20,0.0344,0.69,https://www.lcsc.com/product-detail/C3013385.html
5,C435392,DFE252012F-1R0M=P2,muRata,1008,,3.3A 1uH ±20% 4.7A 40mΩ 1008 Fixed Inductors RoHS,yes,5,5,5,0.1374,0.69,https://www.lcsc.com/product-detail/C435392.html
6,C351410,DW01A,PUOLOP,SOT-23-6L,,Lithium Battery SOT-23-6L Battery Management RoHS,yes,20,20,20,0.0428,0.86,https://www.lcsc.com/product-detail/C351410.html
7,C20917,AO3400A,AOS,SOT-23,,N-Channel 30V Surface Mount SOT-23-3L,yes,10,5,5,0.0828,0.83,https://www.lcsc.com/product-detail/C20917.html
8,C154901,DMP6023LE-13,DIODES,SOT-223,,P-Channel 60V 7A 2W Surface Mount SOT-223,yes,5,1,1,0.5912,2.96,https://www.lcsc.com/product-detail/C154901.html
9,C53444,MMBT3906LT1G,onsemi,SOT-23,,Bipolar (BJT) Transistor PNP 40V 200mA 250MHz 225mW Surface Mount SOT-23,yes,50,50,50,0.0175,0.88,https://www.lcsc.com/product-detail/C53444.html
10,C263274,TPS54620RHLR,TI,VQFN-14-EP(3.5x3.5),,1.6MHz Step-down type Adjustable 800mV~15V 6A 4.5V~17V VQFN-14-EP(3.5x3.5) Voltage Regulators - DC DC Switching Regulators RoHS,yes,4,1,1,0.9462,3.78,https://www.lcsc.com/product-detail/C263274.html
11,C47327102,NR1050M3R3N,Coilank,"SMD,10x10mm",,"7.5A 3.3uH ±20% 14mΩ 10.7A SMD,10x10mm Fixed Inductors RoHS",yes,5,5,5,0.1074,0.54,https://www.lcsc.com/product-detail/C47327102.html
12,C856950,AT0805BRD074K02L,YAGEO,0805,,125mW 4.02kΩ Thin Film Resistor ±25ppm/℃ ±0.1% 0805 Chip Resistor - Surface Mount RoHS,yes,10,5,5,0.0950,0.95,https://www.lcsc.com/product-detail/C856950.html
13,C2999517,FRC0805F1023TS,FOJAN,0805,,102kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/C2999517.html
14,C2999585,FRC0805F3652TS,FOJAN,0805,,36.5kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C2999585.html
15,C2758300,ARG05BTC5232,Viking,0805,,52.3kΩ ±0.1% 125mW 0805 Thin Film Resistor,yes,20,20,20,0.0341,0.68,https://www.lcsc.com/product-detail/C2758300.html
16,C5153984,FRC0805F5362TS,FOJAN,0805,,53.6kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C5153984.html
17,C2907219,FRC0805F1002TS,FOJAN,0805,,10kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C2907219.html
18,C1779,CL21A475KAQNNNE,Samsung Electro-Mechanics,0805,,4.7uF ±10% 25V Ceramic Capacitor X5R 0805,yes,20,20,20,0.0184,0.37,https://www.lcsc.com/product-detail/C1779.html
19,C28260,CL21C222JBFNNNE,Samsung Electro-Mechanics,0805,,2.2nF ±5% 50V Ceramic Capacitor C0G 0805,yes,10,10,10,0.0295,0.30,https://www.lcsc.com/product-detail/C28260.html
20,C16780,CL21A476MQYNNNE,Samsung Electro-Mechanics,0805,,47uF ±20% 6.3V Ceramic Capacitor X5R 0805,yes,10,10,10,0.0556,0.56,https://www.lcsc.com/product-detail/C16780.html
21,C49678,CC0805KRX7R9BB104,YAGEO,0805,,100nF ±10% 50V Ceramic Capacitor X7R 0805,yes,100,100,100,0.0058,0.58,https://www.lcsc.com/product-detail/C49678.html
22,C113857,CC0805KRX7R9BB183,YAGEO,0805,,18nF ±10% 50V Ceramic Capacitor X7R 0805,yes,100,100,100,0.0082,0.82,https://www.lcsc.com/product-detail/C113857.html
23,C107114,CC0805JRNPO9BN300,YAGEO,0805,,30pF ±5% 50V Ceramic Capacitor NP0 0805,yes,100,100,100,0.0076,0.76,https://www.lcsc.com/product-detail/C107114.html
24,C7471904,HUSB238_002DD,Hynetek,DFN-10L(3x3),,DFN-10L(3x3) Interface Controllers RoHS,yes,3,1,1,0.5107,1.53,https://www.lcsc.com/product-detail/C7471904.html
25,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,5,5,5,0.1719,0.86,https://www.lcsc.com/product-detail/C165948.html
26,C440198,GRM21BR61H106KE43L,muRata,0805,,10uF ±10% 50V Ceramic Capacitor X5R 0805,yes,20,10,10,0.0795,1.59,https://www.lcsc.com/product-detail/C440198.html
27,C107154,CC0805KRX7R9BB473,YAGEO,0805,,47nF ±10% 50V Ceramic Capacitor X7R 0805,yes,200,100,100,0.0074,1.48,https://www.lcsc.com/product-detail/C107154.html
28,C5439718,MF52B103F3435L100,SURGING,-,,NTC Thermistor 10kΩ,yes,5,5,5,0.1121,0.56,https://www.lcsc.com/product-detail/C5439718.html
29,C2907232,FRC0805F1001TS,FOJAN,0805,,1kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C2907232.html
30,C17415,0805W8F100JT5E,UNI-ROYAL,0805,,10Ω ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0029,0.29,https://www.lcsc.com/product-detail/C17415.html
31,C105577,RC0805FR-07100RL,YAGEO,0805,,125mW 100Ω 150V Thick Film Resistor ±100ppm/℃ ±1% 0805 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0027,0.27,https://www.lcsc.com/product-detail/C105577.html
32,C2930203,FRC0805F4992TS,FOJAN,0805,,49.9kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C2930203.html
33,C27834,0805W8F5101T5E,UNI-ROYAL,0805,,5.1kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0027,0.27,https://www.lcsc.com/product-detail/C27834.html
34,C2933464,FRC0805F5231TS,FOJAN,0805,,5.23kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C2933464.html
35,C2999498,FRC0805F3830TS,FOJAN,0805,,383Ω ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0019,0.19,https://www.lcsc.com/product-detail/C2999498.html
36,C2933410,FRC0805F3012TS,FOJAN,0805,,30.1kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0020,0.20,https://www.lcsc.com/product-detail/C2933410.html
37,C2907254,FRC0805F3000TS,FOJAN,0805,,300Ω ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C2907254.html
38,C17520,0805W8F2201T5E,UNI-ROYAL,0805,,2.2kΩ ±1% 125mW 0805 Thick Film Resistor,yes,100,100,100,0.0022,0.22,https://www.lcsc.com/product-detail/C17520.html
